epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9982,1.98852,15.9628,2.61627,0.08967,0.14625,0.08684,0.04071,1.73648,27.6522,2.17123,0.0553638,0.000189823,0.000189823
2,62.2399,1.71225,7.95746,2.23373,0.38885,0.20682,0.17291,0.08258,1.53538,8.97625,1.89474,0.0417621,0.000267621,0.000267621
3,90.584,1.65881,7.32698,2.17134,0.50019,0.22133,0.22358,0.11267,1.44148,6.47967,1.84402,0.0280398,0.000224839,0.000224839
