epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.48,4.54147,17.3438,1.80084,0.00021,0.00564,0.00015,6e-05,6.49621,16.3529,3.20406,0.0765539,1.80739e-05,1.80739e-05
2,41.3274,4.42532,11.3926,1.73732,0,0,0,0,5.7566,15.1863,2.52367,0.0632192,3.2585e-05,3.2585e-05
3,61.0926,4.28971,9.96685,1.74312,0.09681,0.00739,0.05203,0.04314,4.37458,15.4419,1.85182,0.0498794,4.2075e-05,4.2075e-05
4,80.6756,4.25374,9.18024,1.71715,0.03612,0.04411,0.03814,0.02545,4.199,14.8082,1.70856,0.0365346,4.65438e-05,4.65438e-05
5,101.012,4.22358,8.6947,1.70972,0.09831,0.06985,0.07936,0.06252,4.09027,14.0008,1.66031,0.0231847,4.59914e-05,4.59914e-05
6,120.905,4.18802,8.34148,1.6969,0.12944,0.13496,0.10897,0.06606,4.07728,12.8455,1.65801,0.00982989,4.04178e-05,4.04178e-05
