epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3185,4.0235,19.5385,1.44675,0.00202,0.05485,0.00819,0.00521,4.28838,17.6157,1.56465,0.0610399,0.000145623,0.000145623
2,69.8338,3.91028,12.0385,1.40444,0.03909,0.0329,0.03281,0.02167,3.89601,16.657,1.42243,0.0505327,0.000259539,0.000259539
3,89.9082,3.78456,9.96924,1.3888,0.11218,0.04201,0.07525,0.05876,3.57684,16.9442,1.3536,0.039982,0.000329892,0.000329892
4,110.082,3.78878,8.84366,1.38225,0.0619,0.07156,0.05839,0.04043,3.70252,16.4713,1.39478,0.0293877,0.000356684,0.000356684
5,130.472,3.78477,8.27128,1.37722,0.15594,0.10734,0.11709,0.06638,3.59421,15.3099,1.35606,0.0187498,0.000339914,0.000339914
6,151.678,3.71658,7.91522,1.38131,0.16878,0.20111,0.15103,0.09203,3.61285,13.572,1.30792,0.00806838,0.000279582,0.000279582
