trial_number,status,map50,map50_95,precision,recall,error_type,hp_optimizer,hp_lr0,hp_lrf,hp_momentum,hp_weight_decay,hp_warmup_epochs,hp_warmup_momentum,hp_warmup_bias_lr,hp_hsv_h,hp_hsv_s,hp_hsv_v,hp_scale,hp_translate,hp_mosaic,hp_mixup,hp_box,hp_cls,hp_dfl,hp_epochs,hp_batch,hp_imgsz,hp_device,hp_val,hp_patience,hp_save,hp_plots,hp_cache,hp_workers,hp_close_mosaic,hp_verbose,best_trial
0,completed,0.15304661366638728,0.09200267667823217,0.17275936138637646,0.2011344646950677,,Adam,0.0010401663679887319,0.1624074561769746,0.8687193424403443,1.3066739238053272e-05,3,0.770501755284444,0.07080725777960455,0.0020584494295802446,0.7879639408647978,0.7329770563201687,0.8274034664069656,0.03636499344142013,0.5917022549267169,0.06084844859190755,7.148538589793427,1.1479175279631737,0.9368437102970628,6,64,640,cuda,True,20,True,True,True,8,10,True,True
7,completed,0.12251963703992241,0.06422603458850672,0.09085771717048227,0.2733133821451902,,Adam,0.0019165268411797845,0.21534167280871647,0.8879822625378682,2.2760157668181607e-05,3,0.6555294354143696,0.028087658811627066,0.03514104336036132,0.7318731252142745,0.7700320083871631,0.8082871615312168,0.05846935870915645,0.5993021732090446,0.11312539580047143,6.613713053144144,1.1112028737029582,1.9042471219221202,6,64,640,cuda,True,20,True,True,True,8,10,True,False
9,completed,0.10884577477265055,0.0659819473323094,0.12923095579838859,0.134447298262831,,Adam,0.0001290994497976685,0.22212345653730367,0.9089931070131261,2.0100980559983922e-05,3,0.809426416037783,0.08899518027648058,0.02007672108006076,0.4976635952141842,0.7402698348634924,0.7760387077198774,0.042969555515718565,0.7042468195761717,0.03370719893145255,8.150549151524576,1.0245360326707469,1.173397209555973,6,64,640,cuda,True,20,True,True,True,8,10,True,False
11,completed,0.10230419599574232,0.06281069284239287,0.14379398737435278,0.07252407971165371,,Adam,0.0019342310353555388,0.2786884828915403,0.8817974674693205,2.014951318156887e-05,3,0.5348971648763079,0.03857464109812119,0.029006385017007166,0.7300058752534655,0.7760928524290911,0.7320075984000328,0.08720808453330317,0.8670384214504616,0.1605908028421611,7.112519095769609,0.8773197489986999,1.6077940513665432,6,64,640,cuda,True,20,True,True,True,8,10,True,False
5,completed,0.09767103937740883,0.04981822588169476,0.1420007002390641,0.12735309491749677,,Adam,0.0029743624956974353,0.12274407820497062,0.9129815296507543,5.692203314794969e-05,3,0.7976654119539656,0.09639705131844271,0.04538736473066358,0.7836061767103539,0.7158648475327121,0.7642451988389807,0.021879670536597215,0.5408996429549441,0.06479705467491233,7.527204344867594,1.0279501437896141,0.8615505272015526,6,64,640,cuda,True,20,True,True,True,8,10,True,False
6,completed,0.09704078773903203,0.06812544963148003,0.13862279358361898,0.06690411960448667,,Adam,0.0006047356110960589,0.37755745215761494,0.8980796614534181,1.576501497375787e-05,2,0.8255756757741541,0.07937035922321349,0.0056031170484915115,0.7319501425474667,0.6893332927539046,0.9737677419827935,0.051483859904787405,0.6919453714257893,0.041291989775922806,6.5557880634258865,1.8385018997828853,0.8977640519234976,6,64,640,cuda,True,20,True,True,True,8,10,True,False
8,completed,0.0428130388368427,0.02732262204206897,0.9018349385127264,0.047378444934094044,,SGD,0.0010423691526912312,0.18230066528566263,0.8711610558339428,2.3347006815835546e-05,3,0.5846111091001842,0.045376403322176954,0.0250091602148839,0.728505769225322,0.5957830278763969,0.9113158787789211,0.013084903958918377,0.5937494164126712,0.07943917534957151,4.386664771990909,1.3583091175537416,0.5083135696883885,6,64,640,cuda,True,20,True,True,True,8,10,True,False
1,failed,,,,,ValueError,SGD,0.0004192159350410976,0.28242799368681437,0.9442211153671616,2.5081156860452307e-05,2,0.766586555987919,0.0046450412719997725,0.06075448519014384,0.4682096494749166,0.4260206371941118,1.269331322352,0.19312640661491187,0.9041986740582306,0.06092275383467414,4.586032684038303,1.5263495397682354,1.1602287406094018,6,64,640,cuda,True,20,True,True,True,8,10,True,False
2,failed,,,,,ValueError,Adam,0.0035067764992972213,0.20351199264000677,0.9295026741224778,4.201672054372529e-05,2,0.7460196257044758,0.018485445552552705,0.09695846277645587,0.7100531293444459,0.7757995766256757,1.2368964102565894,0.11957999576221703,0.9609371175115584,0.0176985004103839,5.175897174514871,0.5678409333658071,0.9879954961448965,6,64,640,cuda,True,20,True,True,True,8,10,True,False
3,failed,,,,,ValueError,AdamW,0.00040375061884407573,0.2123738038749523,0.9151235299789898,1.913588048769229e-05,3,0.5335477896558969,0.09868869366005173,0.07722447692966575,0.479486272613669,0.40220884684944097,1.1892768570729007,0.14137146876952342,0.8645035840204937,0.15425406933718916,4.444267910404542,1.0376985928164089,0.6738035892876946,6,64,640,cuda,True,20,True,True,True,8,10,True,False
4,failed,,,,,ValueError,SGD,0.00012822825454807568,0.2243929286862649,0.8890219986432096,0.0002878805718308924,2,0.8992457341593469,0.04722149251619493,0.01195942459383017,0.685297914889198,0.704314019446759,1.0367663185416978,0.1541934359909122,0.7468977981821954,0.10454656587639882,6.565246110151298,0.5381286901161428,0.6618371404899567,6,64,640,cuda,True,20,True,True,True,8,10,True,False
10,failed,,,,,ValueError,Adam,0.002788633759380028,0.19438512607913133,0.8783114085455939,1.933671809024845e-05,3,0.7858325608165045,0.0730966496390701,0.013841232974063556,0.7921148064501713,0.7913966074215434,1.016027497325445,0.03839233564850886,0.8339610132697481,0.05549178885190345,4.687166771884558,0.7288768326813396,1.4013428168119617,6,64,640,cuda,True,20,True,True,True,8,10,True,False
