epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2749,1.61106,3.0077,1.21607,0.1452,0.1001,0.08502,0.0486,1.48199,2.46471,1.08482,0.025045,3.96881e-05,3.96881e-05
2,20.2204,1.59082,2.82094,1.2171,0.13893,0.09546,0.08624,0.0497,1.48245,2.36734,1.09173,0.020699,5.50814e-05,5.50814e-05
3,30.2424,1.56491,2.61827,1.20309,0.14124,0.10379,0.08661,0.05008,1.48751,2.26848,1.09838,0.0163249,4.24095e-05,4.24095e-05
