epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.755,4.29337,17.3571,1.3736,0.00143,0.03886,0.01283,0.00716,4.4829,15.6504,1.49164,0.0833179,0.000416411,0.000416411
2,41.0952,4.23212,10.1624,1.34752,0.02409,0.03174,0.02508,0.0152,4.33948,15.2497,1.59694,0.0690522,0.000610335,0.000610335
3,60.253,4.09505,8.28655,1.33694,0.04173,0.03351,0.03405,0.02324,4.14416,15.947,1.44748,0.0545257,0.000543332,0.000543332
