epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7289,3.69684,31.7795,1.39974,0.00152,0.04127,0.00274,0.00172,4.46451,28.6003,1.74298,0.0683432,8.4663e-05,8.4663e-05
2,40.8574,3.68149,20.1501,1.36663,0.07128,0.00519,0.03801,0.02627,4.53984,27.518,1.68001,0.0565101,0.00015718,0.00015718
3,61.2634,3.52027,16.7997,1.3596,0.03662,0.02689,0.0295,0.0208,3.70737,27.6316,1.4693,0.0446583,0.000210876,0.000210876
4,80.8444,3.50392,15.0946,1.35659,0.13807,0.06688,0.09677,0.06794,3.41122,26.3263,1.31918,0.0327876,0.000245752,0.000245752
5,101.038,3.45172,13.6769,1.32834,0.08068,0.07073,0.06965,0.04915,3.4442,25.8238,1.33872,0.0208981,0.000261807,0.000261807
6,120.587,3.41651,13.198,1.32652,0.08317,0.16253,0.09661,0.06537,3.36966,22.0969,1.26386,0.00898978,0.000259042,0.000259042
