epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2302,1.62636,3.00547,1.23441,0.13565,0.11,0.08461,0.04822,1.4853,2.49755,1.08501,0.0131576,2.2795e-05,2.2795e-05
2,20.1811,1.64077,2.89652,1.23258,0.14684,0.10103,0.08432,0.04864,1.49091,2.44107,1.09398,0.0108755,3.16362e-05,3.16362e-05
3,30.4418,1.60362,2.70817,1.2201,0.13588,0.10001,0.08288,0.04808,1.49674,2.39824,1.10184,0.00857723,2.43581e-05,2.43581e-05
