epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7421,3.77154,19.1595,2.9895,0.00192,0.05296,0.00625,0.00414,3.59897,17.8521,2.72986,0.0244237,0.000268314,0.000268314
2,42.2734,3.75794,12.1764,2.8884,0.0425,0.06399,0.04189,0.02823,3.48473,16.5361,2.79479,0.0204253,0.000483108,0.000483108
3,62.3781,3.65481,9.82017,2.87472,0.12076,0.08809,0.09289,0.04704,3.57935,15.4949,2.79091,0.0163518,0.000622712,0.000622712
4,83.2301,3.58378,8.76037,2.88018,0.08688,0.13318,0.085,0.05087,3.43957,14.6196,2.83414,0.0122031,0.000687124,0.000687124
5,103.029,3.5572,8.35642,2.85065,0.05984,0.15982,0.07521,0.04372,3.5297,13.8413,2.95797,0.00797914,0.000676346,0.000676346
6,124.407,3.53892,7.86901,2.82848,0.0914,0.27421,0.1229,0.06413,3.50716,11.8757,2.84429,0.00368002,0.000590377,0.000590377
