trial_number,status,map50,map50_95,precision,recall,error_type,hp_optimizer,hp_lr0,hp_momentum,hp_weight_decay,hp_warmup_epochs,hp_warmup_momentum,hp_warmup_bias_lr,hp_mosaic,hp_mixup,hp_epochs,hp_batch,hp_imgsz,hp_device,hp_val,hp_patience,hp_save,hp_plots,hp_cache,hp_workers,hp_close_mosaic,hp_verbose,best_trial
4,completed,0.2794388952781793,0.16435785729083743,0.5051153425733822,0.2816832758888817,,SGD,0.0006354128541270993,0.9390914149680019,0.0003623575371607693,0,0.5714930969997855,0.028261925335822943,0.9600243812142845,0.040333652560882796,3,64,640,cuda,True,20,True,True,True,8,10,True,True
3,completed,0.08662624075806813,0.05025785336738894,0.14108931683250991,0.10374574011224878,,SGD,0.00028348617653782554,0.9381576352259738,0.0005661798292079105,1,0.5643180969880978,0.029075920365587593,0.8329734293093005,0.005427839577240575,3,64,640,cuda,True,20,True,True,True,8,10,True,False
1,completed,0.08642368328644127,0.05006177894479593,0.14386506231690274,0.10181667790202702,,SGD,0.00020366442026830908,0.872008541182412,4.059611610484306e-05,2,0.6943752583889521,0.029122914019804193,0.8059264473611898,0.027898772130408367,3,64,640,cuda,True,20,True,True,True,8,10,True,False
2,completed,0.08436575457629736,0.0487090139777405,0.14730170873868612,0.10086348199837403,,SGD,0.00016282163022174407,0.889558554543707,2.0017343384257716e-05,3,0.6162104995413485,0.015272986963649069,0.712404130685385,0.05582656009853853,3,64,640,cuda,True,20,True,True,True,8,10,True,False
0,completed,0.004671799658779366,0.0018963521528654029,0.007887183083033943,0.007908646925758206,,Adam,0.0010401663679887319,0.8687222368530924,2.0511104188433963e-05,0,0.8897792655987208,0.06011150117432088,0.8540362888980227,0.004116898859160489,3,64,640,cuda,True,20,True,True,True,8,10,True,False
5,completed,0.00048681337239316785,0.00019537987202719454,0.0004525391151743237,4.237198364441431e-05,,AdamW,0.001806761316300694,0.920279945779173,0.0007515940010514291,0,0.6072243367553594,0.04004701585923898,0.9159117028093282,0.07767196450820435,3,64,640,cuda,True,20,True,True,True,8,10,True,False
