epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.508,1.62978,3.02772,1.22733,0.14521,0.10141,0.08465,0.04825,1.48366,2.4679,1.08538,0.0250742,2.8513e-05,2.8513e-05
2,21.4876,1.6075,2.78953,1.21729,0.14979,0.09866,0.08573,0.04927,1.48479,2.37325,1.09311,0.0207168,3.9572e-05,3.9572e-05
3,31.5056,1.5985,2.63852,1.21699,0.14294,0.10211,0.08637,0.0499,1.48731,2.28517,1.09887,0.0163393,3.04682e-05,3.04682e-05
