epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9684,2.0508,15.4786,2.52582,0.07835,0.08467,0.05433,0.02595,1.95488,15.6793,2.41488,0.0553638,0.000189823,0.000189823
2,53.0996,1.87053,9.77468,2.32582,0.02686,0.28229,0.09168,0.04412,1.68087,12.7385,2.00569,0.0417621,0.000267621,0.000267621
3,78.2509,1.81404,8.97051,2.28088,0.58292,0.0821,0.12928,0.0605,1.72399,9.43597,2.02705,0.0280398,0.000224839,0.000224839
