epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3429,4.37269,17.1258,1.37,0.01132,0.04525,0.01751,0.00864,4.89641,15.4186,1.40997,0.0833179,0.000416411,0.000416411
2,40.5942,4.25848,10.2751,1.35181,0.03256,0.03519,0.03281,0.01901,4.31681,14.9905,1.52314,0.0691784,0.00073645,0.00073645
3,59.7241,4.17581,8.4959,1.34607,0.04275,0.02782,0.03287,0.02025,4.37006,15.4695,1.54614,0.0549084,0.000926026,0.000926026
4,80.3769,4.15627,7.74561,1.33917,0.10141,0.09087,0.06995,0.04407,4.26235,15.0003,1.45628,0.0405079,0.000985137,0.000985137
5,99.8408,4.10594,7.31405,1.32583,0.1423,0.1275,0.09782,0.04987,4.39812,14.4183,1.49652,0.025977,0.000913785,0.000913785
6,120.319,4.05504,6.95742,1.30698,0.04944,0.27179,0.0871,0.04726,4.08802,11.578,1.31146,0.0113156,0.000711969,0.000711969
