epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4576,4.02331,14.6823,2.53561,0.00389,0.04103,0.00811,0.00512,4.32603,13.8192,2.39603,0.033445,0.000270792,0.000270792
2,43.4829,3.99493,9.39181,2.44678,0.07508,0.06189,0.0583,0.04256,4.19617,12.6079,2.45536,0.0278815,0.000493493,0.000493493
3,63.8343,3.90268,7.61182,2.42162,0.12432,0.07802,0.0907,0.05616,3.73061,12.0363,2.37357,0.0222482,0.000646435,0.000646435
4,85.1388,3.86689,6.81089,2.41708,0.14662,0.07273,0.10381,0.06338,3.80116,11.9458,2.40876,0.0165452,0.000729617,0.000729617
5,105.259,3.84868,6.53255,2.43203,0.12984,0.18651,0.12077,0.06166,3.69639,10.8159,2.34559,0.0107724,0.000743041,0.000743041
6,126.762,3.81063,6.21309,2.40387,0.05652,0.3031,0.10978,0.05833,3.73097,8.96887,2.30075,0.00492992,0.000686705,0.000686705
