epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.389,1.58571,2.68614,1.22036,0.20045,0.19177,0.1523,0.0894,1.41637,1.49843,1.06762,0.000635413,0.000635413,0.000635413
2,20.6496,1.42414,1.46561,1.11137,0.33199,0.24337,0.24773,0.14566,1.37349,1.22708,1.02885,0.000425727,0.000425727,0.000425727
3,30.8384,1.36925,1.19152,1.06139,0.50414,0.28143,0.27923,0.16408,1.33882,1.0869,1.01499,0.00021604,0.00021604,0.00021604
